Epoch 5: MRR Left = 0.911, MRR Right = 0.906
Epoch 10: MRR Left = 0.856, MRR Right = 0.856
Epoch 15: MRR Left = 0.870, MRR Right = 0.872
Epoch 20: MRR Left = 0.877, MRR Right = 0.881
Epoch 25: MRR Left = 0.876, MRR Right = 0.875
Epoch 30: MRR Left = 0.883, MRR Right = 0.879
Epoch 35: MRR Left = 0.909, MRR Right = 0.899
Epoch 40: MRR Left = 0.913, MRR Right = 0.905
Epoch 45: MRR Left = 0.922, MRR Right = 0.915
Epoch 50: MRR Left = 0.924, MRR Right = 0.923
Epoch 55: MRR Left = 0.928, MRR Right = 0.925
Epoch 60: MRR Left = 0.930, MRR Right = 0.929
Epoch 65: MRR Left = 0.934, MRR Right = 0.933
Epoch 70: MRR Left = 0.938, MRR Right = 0.937
Epoch 75: MRR Left = 0.941, MRR Right = 0.940
Epoch 80: MRR Left = 0.944, MRR Right = 0.941
Epoch 85: MRR Left = 0.946, MRR Right = 0.945
Epoch 90: MRR Left = 0.948, MRR Right = 0.947
Epoch 95: MRR Left = 0.950, MRR Right = 0.949
Epoch 100: MRR Left = 0.952, MRR Right = 0.950
Epoch 105: MRR Left = 0.953, MRR Right = 0.953
Epoch 110: MRR Left = 0.955, MRR Right = 0.955
Epoch 115: MRR Left = 0.957, MRR Right = 0.955
Epoch 120: MRR Left = 0.958, MRR Right = 0.956
Epoch 125: MRR Left = 0.959, MRR Right = 0.958
Epoch 130: MRR Left = 0.959, MRR Right = 0.958
Epoch 135: MRR Left = 0.960, MRR Right = 0.959
Epoch 140: MRR Left = 0.961, MRR Right = 0.959
Epoch 145: MRR Left = 0.960, MRR Right = 0.959
Epoch 150: MRR Left = 0.962, MRR Right = 0.960
Epoch 155: MRR Left = 0.962, MRR Right = 0.960
Epoch 160: MRR Left = 0.963, MRR Right = 0.960
Epoch 165: MRR Left = 0.963, MRR Right = 0.961
Epoch 170: MRR Left = 0.963, MRR Right = 0.962
Epoch 175: MRR Left = 0.964, MRR Right = 0.963
Epoch 180: MRR Left = 0.965, MRR Right = 0.963
Epoch 185: MRR Left = 0.964, MRR Right = 0.963
Epoch 190: MRR Left = 0.965, MRR Right = 0.964
Epoch 195: MRR Left = 0.965, MRR Right = 0.964
Epoch 200: MRR Left = 0.966, MRR Right = 0.964
Epoch 205: MRR Left = 0.966, MRR Right = 0.964
Epoch 210: MRR Left = 0.966, MRR Right = 0.965
Epoch 215: MRR Left = 0.966, MRR Right = 0.965
Epoch 220: MRR Left = 0.967, MRR Right = 0.965
Epoch 225: MRR Left = 0.967, MRR Right = 0.966
Epoch 230: MRR Left = 0.967, MRR Right = 0.965
Epoch 235: MRR Left = 0.967, MRR Right = 0.966
Epoch 240: MRR Left = 0.966, MRR Right = 0.965
Epoch 245: MRR Left = 0.966, MRR Right = 0.966
Epoch 250: MRR Left = 0.967, MRR Right = 0.965
Epoch 255: MRR Left = 0.967, MRR Right = 0.965
Epoch 260: MRR Left = 0.966, MRR Right = 0.966
Epoch 265: MRR Left = 0.966, MRR Right = 0.965
Epoch 270: MRR Left = 0.966, MRR Right = 0.965
Epoch 275: MRR Left = 0.967, MRR Right = 0.965
Epoch 280: MRR Left = 0.967, MRR Right = 0.966
Epoch 285: MRR Left = 0.966, MRR Right = 0.966
Epoch 290: MRR Left = 0.966, MRR Right = 0.965
Epoch 295: MRR Left = 0.966, MRR Right = 0.965
Epoch 300: MRR Left = 0.966, MRR Right = 0.966
Epoch 305: MRR Left = 0.966, MRR Right = 0.965
Epoch 310: MRR Left = 0.966, MRR Right = 0.965
Epoch 315: MRR Left = 0.966, MRR Right = 0.965
Epoch 320: MRR Left = 0.966, MRR Right = 0.965
Epoch 325: MRR Left = 0.967, MRR Right = 0.965
Epoch 330: MRR Left = 0.967, MRR Right = 0.965
Epoch 335: MRR Left = 0.966, MRR Right = 0.965
Epoch 340: MRR Left = 0.968, MRR Right = 0.965
