Epoch 5: Hits@10 Left = 0.943, Hits@10 Right = 0.947, Average Hits@10 = 0.945
Epoch 10: Hits@10 Left = 0.951, Hits@10 Right = 0.953, Average Hits@10 = 0.952
Epoch 15: Hits@10 Left = 0.953, Hits@10 Right = 0.955, Average Hits@10 = 0.954
Epoch 20: Hits@10 Left = 0.955, Hits@10 Right = 0.957, Average Hits@10 = 0.956
Epoch 25: Hits@10 Left = 0.956, Hits@10 Right = 0.958, Average Hits@10 = 0.957
Epoch 30: Hits@10 Left = 0.957, Hits@10 Right = 0.959, Average Hits@10 = 0.958
Epoch 35: Hits@10 Left = 0.958, Hits@10 Right = 0.960, Average Hits@10 = 0.959
Epoch 40: Hits@10 Left = 0.959, Hits@10 Right = 0.960, Average Hits@10 = 0.960
Epoch 45: Hits@10 Left = 0.959, Hits@10 Right = 0.961, Average Hits@10 = 0.960
Epoch 50: Hits@10 Left = 0.960, Hits@10 Right = 0.962, Average Hits@10 = 0.961
Epoch 55: Hits@10 Left = 0.962, Hits@10 Right = 0.963, Average Hits@10 = 0.962
Epoch 60: Hits@10 Left = 0.963, Hits@10 Right = 0.963, Average Hits@10 = 0.963
Epoch 65: Hits@10 Left = 0.963, Hits@10 Right = 0.964, Average Hits@10 = 0.963
Epoch 70: Hits@10 Left = 0.963, Hits@10 Right = 0.965, Average Hits@10 = 0.964
Epoch 75: Hits@10 Left = 0.964, Hits@10 Right = 0.964, Average Hits@10 = 0.964
Epoch 80: Hits@10 Left = 0.964, Hits@10 Right = 0.964, Average Hits@10 = 0.964
Epoch 85: Hits@10 Left = 0.965, Hits@10 Right = 0.966, Average Hits@10 = 0.965
Epoch 90: Hits@10 Left = 0.965, Hits@10 Right = 0.966, Average Hits@10 = 0.966
Epoch 95: Hits@10 Left = 0.965, Hits@10 Right = 0.966, Average Hits@10 = 0.966
Epoch 100: Hits@10 Left = 0.965, Hits@10 Right = 0.966, Average Hits@10 = 0.966
Epoch 105: Hits@10 Left = 0.966, Hits@10 Right = 0.967, Average Hits@10 = 0.966
Epoch 110: Hits@10 Left = 0.966, Hits@10 Right = 0.967, Average Hits@10 = 0.966
Epoch 115: Hits@10 Left = 0.966, Hits@10 Right = 0.967, Average Hits@10 = 0.966
Epoch 120: Hits@10 Left = 0.965, Hits@10 Right = 0.968, Average Hits@10 = 0.967
Epoch 125: Hits@10 Left = 0.964, Hits@10 Right = 0.968, Average Hits@10 = 0.966
Epoch 130: Hits@10 Left = 0.965, Hits@10 Right = 0.968, Average Hits@10 = 0.966
Epoch 135: Hits@10 Left = 0.965, Hits@10 Right = 0.968, Average Hits@10 = 0.966
Epoch 140: Hits@10 Left = 0.966, Hits@10 Right = 0.969, Average Hits@10 = 0.967
Epoch 145: Hits@10 Left = 0.965, Hits@10 Right = 0.969, Average Hits@10 = 0.967
Epoch 150: Hits@10 Left = 0.965, Hits@10 Right = 0.968, Average Hits@10 = 0.967
Epoch 155: Hits@10 Left = 0.966, Hits@10 Right = 0.969, Average Hits@10 = 0.968
Epoch 160: Hits@10 Left = 0.966, Hits@10 Right = 0.970, Average Hits@10 = 0.968
Epoch 165: Hits@10 Left = 0.966, Hits@10 Right = 0.970, Average Hits@10 = 0.968
Epoch 170: Hits@10 Left = 0.966, Hits@10 Right = 0.971, Average Hits@10 = 0.968
Epoch 175: Hits@10 Left = 0.966, Hits@10 Right = 0.971, Average Hits@10 = 0.968
Epoch 180: Hits@10 Left = 0.966, Hits@10 Right = 0.969, Average Hits@10 = 0.968
Epoch 185: Hits@10 Left = 0.966, Hits@10 Right = 0.970, Average Hits@10 = 0.968
Epoch 190: Hits@10 Left = 0.966, Hits@10 Right = 0.970, Average Hits@10 = 0.968
Epoch 195: Hits@10 Left = 0.967, Hits@10 Right = 0.970, Average Hits@10 = 0.968
Epoch 200: Hits@10 Left = 0.967, Hits@10 Right = 0.970, Average Hits@10 = 0.969
Epoch 205: Hits@10 Left = 0.967, Hits@10 Right = 0.971, Average Hits@10 = 0.969
Epoch 210: Hits@10 Left = 0.966, Hits@10 Right = 0.971, Average Hits@10 = 0.969
Epoch 215: Hits@10 Left = 0.968, Hits@10 Right = 0.970, Average Hits@10 = 0.969
Epoch 220: Hits@10 Left = 0.969, Hits@10 Right = 0.970, Average Hits@10 = 0.969
Epoch 225: Hits@10 Left = 0.969, Hits@10 Right = 0.970, Average Hits@10 = 0.970
Epoch 230: Hits@10 Left = 0.968, Hits@10 Right = 0.970, Average Hits@10 = 0.969
Epoch 235: Hits@10 Left = 0.969, Hits@10 Right = 0.970, Average Hits@10 = 0.970
Epoch 240: Hits@10 Left = 0.969, Hits@10 Right = 0.970, Average Hits@10 = 0.969
Epoch 245: Hits@10 Left = 0.969, Hits@10 Right = 0.970, Average Hits@10 = 0.969
Epoch 250: Hits@10 Left = 0.968, Hits@10 Right = 0.970, Average Hits@10 = 0.969
Epoch 255: Hits@10 Left = 0.969, Hits@10 Right = 0.970, Average Hits@10 = 0.970
Epoch 260: Hits@10 Left = 0.970, Hits@10 Right = 0.970, Average Hits@10 = 0.970
Epoch 265: Hits@10 Left = 0.970, Hits@10 Right = 0.970, Average Hits@10 = 0.970
Epoch 270: Hits@10 Left = 0.970, Hits@10 Right = 0.970, Average Hits@10 = 0.970
Epoch 275: Hits@10 Left = 0.969, Hits@10 Right = 0.970, Average Hits@10 = 0.970
Epoch 280: Hits@10 Left = 0.970, Hits@10 Right = 0.970, Average Hits@10 = 0.970
Epoch 285: Hits@10 Left = 0.970, Hits@10 Right = 0.969, Average Hits@10 = 0.970
Epoch 290: Hits@10 Left = 0.970, Hits@10 Right = 0.969, Average Hits@10 = 0.970
Epoch 295: Hits@10 Left = 0.970, Hits@10 Right = 0.970, Average Hits@10 = 0.970
Epoch 300: Hits@10 Left = 0.969, Hits@10 Right = 0.968, Average Hits@10 = 0.969
Epoch 305: Hits@10 Left = 0.969, Hits@10 Right = 0.969, Average Hits@10 = 0.969
Epoch 310: Hits@10 Left = 0.968, Hits@10 Right = 0.968, Average Hits@10 = 0.968
Epoch 315: Hits@10 Left = 0.968, Hits@10 Right = 0.968, Average Hits@10 = 0.968
Epoch 320: Hits@10 Left = 0.968, Hits@10 Right = 0.969, Average Hits@10 = 0.969
Epoch 325: Hits@10 Left = 0.968, Hits@10 Right = 0.968, Average Hits@10 = 0.968
Epoch 330: Hits@10 Left = 0.968, Hits@10 Right = 0.968, Average Hits@10 = 0.968
Epoch 335: Hits@10 Left = 0.968, Hits@10 Right = 0.968, Average Hits@10 = 0.968
Epoch 340: Hits@10 Left = 0.968, Hits@10 Right = 0.968, Average Hits@10 = 0.968
