Epoch 5: MRR Left = 0.714, MRR Right = 0.706, Average MRR = 0.710
Epoch 10: MRR Left = 0.716, MRR Right = 0.711, Average MRR = 0.714
Epoch 15: MRR Left = 0.717, MRR Right = 0.711, Average MRR = 0.714
Epoch 20: MRR Left = 0.719, MRR Right = 0.712, Average MRR = 0.716
Epoch 25: MRR Left = 0.721, MRR Right = 0.712, Average MRR = 0.716
Epoch 30: MRR Left = 0.721, MRR Right = 0.713, Average MRR = 0.717
Epoch 35: MRR Left = 0.721, MRR Right = 0.713, Average MRR = 0.717
Epoch 40: MRR Left = 0.722, MRR Right = 0.714, Average MRR = 0.718
Epoch 45: MRR Left = 0.722, MRR Right = 0.715, Average MRR = 0.718
Epoch 50: MRR Left = 0.723, MRR Right = 0.715, Average MRR = 0.719
Epoch 55: MRR Left = 0.724, MRR Right = 0.716, Average MRR = 0.720
Epoch 60: MRR Left = 0.725, MRR Right = 0.716, Average MRR = 0.720
Epoch 65: MRR Left = 0.725, MRR Right = 0.717, Average MRR = 0.721
Epoch 70: MRR Left = 0.725, MRR Right = 0.717, Average MRR = 0.721
Epoch 75: MRR Left = 0.726, MRR Right = 0.717, Average MRR = 0.722
Epoch 80: MRR Left = 0.726, MRR Right = 0.717, Average MRR = 0.722
Epoch 85: MRR Left = 0.726, MRR Right = 0.717, Average MRR = 0.722
Epoch 90: MRR Left = 0.727, MRR Right = 0.717, Average MRR = 0.722
Epoch 95: MRR Left = 0.727, MRR Right = 0.718, Average MRR = 0.722
Epoch 100: MRR Left = 0.727, MRR Right = 0.718, Average MRR = 0.722
Epoch 105: MRR Left = 0.728, MRR Right = 0.718, Average MRR = 0.723
Epoch 110: MRR Left = 0.728, MRR Right = 0.719, Average MRR = 0.724
Epoch 115: MRR Left = 0.728, MRR Right = 0.720, Average MRR = 0.724
Epoch 120: MRR Left = 0.728, MRR Right = 0.720, Average MRR = 0.724
Epoch 125: MRR Left = 0.728, MRR Right = 0.720, Average MRR = 0.724
Epoch 130: MRR Left = 0.729, MRR Right = 0.721, Average MRR = 0.725
Epoch 135: MRR Left = 0.729, MRR Right = 0.721, Average MRR = 0.725
Epoch 140: MRR Left = 0.729, MRR Right = 0.721, Average MRR = 0.725
Epoch 145: MRR Left = 0.729, MRR Right = 0.722, Average MRR = 0.726
Epoch 150: MRR Left = 0.729, MRR Right = 0.722, Average MRR = 0.726
Epoch 155: MRR Left = 0.729, MRR Right = 0.722, Average MRR = 0.726
Epoch 160: MRR Left = 0.729, MRR Right = 0.722, Average MRR = 0.726
Epoch 165: MRR Left = 0.728, MRR Right = 0.722, Average MRR = 0.725
Epoch 170: MRR Left = 0.729, MRR Right = 0.723, Average MRR = 0.726
Epoch 175: MRR Left = 0.729, MRR Right = 0.723, Average MRR = 0.726
Epoch 180: MRR Left = 0.729, MRR Right = 0.723, Average MRR = 0.726
Epoch 185: MRR Left = 0.729, MRR Right = 0.723, Average MRR = 0.726
Epoch 190: MRR Left = 0.729, MRR Right = 0.723, Average MRR = 0.726
Epoch 195: MRR Left = 0.729, MRR Right = 0.724, Average MRR = 0.726
Epoch 200: MRR Left = 0.729, MRR Right = 0.724, Average MRR = 0.726
Epoch 205: MRR Left = 0.729, MRR Right = 0.724, Average MRR = 0.726
Epoch 210: MRR Left = 0.729, MRR Right = 0.724, Average MRR = 0.726
Epoch 215: MRR Left = 0.729, MRR Right = 0.724, Average MRR = 0.726
Epoch 220: MRR Left = 0.729, MRR Right = 0.725, Average MRR = 0.727
Epoch 225: MRR Left = 0.729, MRR Right = 0.725, Average MRR = 0.727
Epoch 230: MRR Left = 0.729, MRR Right = 0.725, Average MRR = 0.727
Epoch 235: MRR Left = 0.729, MRR Right = 0.725, Average MRR = 0.727
Epoch 240: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 245: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 250: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 255: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 260: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 265: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 270: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 275: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 280: MRR Left = 0.730, MRR Right = 0.726, Average MRR = 0.728
Epoch 285: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 290: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 295: MRR Left = 0.730, MRR Right = 0.726, Average MRR = 0.728
Epoch 300: MRR Left = 0.730, MRR Right = 0.726, Average MRR = 0.728
Epoch 305: MRR Left = 0.730, MRR Right = 0.726, Average MRR = 0.728
Epoch 310: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 315: MRR Left = 0.730, MRR Right = 0.726, Average MRR = 0.728
Epoch 320: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 325: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 330: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 335: MRR Left = 0.730, MRR Right = 0.725, Average MRR = 0.728
Epoch 340: MRR Left = 0.731, MRR Right = 0.725, Average MRR = 0.728
