Epoch 5: MRR Left = 0.743, MRR Right = 0.729
Epoch 10: MRR Left = 0.752, MRR Right = 0.734
Epoch 15: MRR Left = 0.756, MRR Right = 0.740
Epoch 20: MRR Left = 0.755, MRR Right = 0.740
Epoch 25: MRR Left = 0.758, MRR Right = 0.745
Epoch 30: MRR Left = 0.762, MRR Right = 0.749
Epoch 35: MRR Left = 0.765, MRR Right = 0.751
Epoch 40: MRR Left = 0.768, MRR Right = 0.754
Epoch 45: MRR Left = 0.771, MRR Right = 0.757
Epoch 50: MRR Left = 0.772, MRR Right = 0.757
Epoch 55: MRR Left = 0.773, MRR Right = 0.758
Epoch 60: MRR Left = 0.775, MRR Right = 0.759
Epoch 65: MRR Left = 0.777, MRR Right = 0.761
Epoch 70: MRR Left = 0.778, MRR Right = 0.763
Epoch 75: MRR Left = 0.780, MRR Right = 0.765
Epoch 80: MRR Left = 0.781, MRR Right = 0.766
Epoch 85: MRR Left = 0.781, MRR Right = 0.767
Epoch 90: MRR Left = 0.782, MRR Right = 0.768
Epoch 95: MRR Left = 0.782, MRR Right = 0.769
Epoch 100: MRR Left = 0.784, MRR Right = 0.770
Epoch 105: MRR Left = 0.785, MRR Right = 0.771
Epoch 110: MRR Left = 0.785, MRR Right = 0.772
Epoch 115: MRR Left = 0.786, MRR Right = 0.771
Epoch 120: MRR Left = 0.787, MRR Right = 0.772
Epoch 125: MRR Left = 0.787, MRR Right = 0.772
Epoch 130: MRR Left = 0.787, MRR Right = 0.773
Epoch 135: MRR Left = 0.787, MRR Right = 0.774
Epoch 140: MRR Left = 0.788, MRR Right = 0.774
Epoch 145: MRR Left = 0.789, MRR Right = 0.774
Epoch 150: MRR Left = 0.790, MRR Right = 0.776
Epoch 155: MRR Left = 0.790, MRR Right = 0.776
Epoch 160: MRR Left = 0.791, MRR Right = 0.776
Epoch 165: MRR Left = 0.790, MRR Right = 0.777
Epoch 170: MRR Left = 0.791, MRR Right = 0.778
Epoch 175: MRR Left = 0.791, MRR Right = 0.777
Epoch 180: MRR Left = 0.791, MRR Right = 0.778
Epoch 185: MRR Left = 0.792, MRR Right = 0.779
Epoch 190: MRR Left = 0.792, MRR Right = 0.779
Epoch 195: MRR Left = 0.791, MRR Right = 0.781
Epoch 200: MRR Left = 0.791, MRR Right = 0.780
Epoch 205: MRR Left = 0.791, MRR Right = 0.780
Epoch 210: MRR Left = 0.791, MRR Right = 0.780
Epoch 215: MRR Left = 0.791, MRR Right = 0.781
Epoch 220: MRR Left = 0.791, MRR Right = 0.780
Epoch 225: MRR Left = 0.791, MRR Right = 0.782
Epoch 230: MRR Left = 0.793, MRR Right = 0.782
Epoch 235: MRR Left = 0.791, MRR Right = 0.781
Epoch 240: MRR Left = 0.791, MRR Right = 0.780
Epoch 245: MRR Left = 0.792, MRR Right = 0.782
Epoch 250: MRR Left = 0.791, MRR Right = 0.782
Epoch 255: MRR Left = 0.791, MRR Right = 0.782
Epoch 260: MRR Left = 0.790, MRR Right = 0.780
Epoch 265: MRR Left = 0.791, MRR Right = 0.781
Epoch 270: MRR Left = 0.792, MRR Right = 0.780
Epoch 275: MRR Left = 0.790, MRR Right = 0.781
Epoch 280: MRR Left = 0.791, MRR Right = 0.779
Epoch 285: MRR Left = 0.791, MRR Right = 0.779
Epoch 290: MRR Left = 0.791, MRR Right = 0.779
Epoch 295: MRR Left = 0.791, MRR Right = 0.779
Epoch 300: MRR Left = 0.789, MRR Right = 0.777
Epoch 305: MRR Left = 0.792, MRR Right = 0.778
Epoch 310: MRR Left = 0.792, MRR Right = 0.779
Epoch 315: MRR Left = 0.792, MRR Right = 0.781
Epoch 320: MRR Left = 0.789, MRR Right = 0.777
Epoch 325: MRR Left = 0.792, MRR Right = 0.779
Epoch 330: MRR Left = 0.789, MRR Right = 0.779
Epoch 335: MRR Left = 0.793, MRR Right = 0.779
Epoch 340: MRR Left = 0.789, MRR Right = 0.778
